	Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
0	GO_Biological_Process_2023	Reverse Cholesterol Transport (GO:0043691)	8/16	7.703896324051187e-17	4.7610079282636345e-14	0	0	362.3454545454546	13443.820902407162	APOM;APOC2;APOA2;APOA1;APOC3;LCAT;APOA4;CLU
1	GO_Biological_Process_2023	Negative Regulation Of Blood Coagulation (GO:0030195)	9/30	2.283027258605159e-16	7.054554229089942e-14	0	0	158.06349206349208	5692.792471754206	VTN;CPB2;PROC;APOH;F12;PLG;F2;KLKB1;KNG1
2	GO_Biological_Process_2023	Cholesterol Transport (GO:0030301)	10/51	5.25042134326425e-16	1.0815867967124354e-13	0	0	91.56005522319374	3221.3622901276235	APOM;APOC2;APOC1;APOA2;APOA1;LCAT;APOC3;APOA4;APOB;CLU
3	GO_Biological_Process_2023	High-Density Lipoprotein Particle Remodeling (GO:0034375)	7/15	1.3753898689027704e-14	2.1249773474547804e-12	0	0	311.390625	9938.79597125615	APOM;APOC1;APOA2;APOA1;APOC3;LCAT;APOA4
4	GO_Biological_Process_2023	Phospholipid Efflux (GO:0033700)	6/11	3.48977883721377e-13	4.313366642796219e-11	0	0	419.62105263157895	12036.312856618366	APOC2;APOC1;APOA2;APOA1;APOC3;APOA4
5	GO_Biological_Process_2023	Cholesterol Efflux (GO:0033344)	7/23	5.138548070675909e-13	5.292704512796186e-11	0	0	155.6328125	4403.916116418827	APOM;APOC2;APOC1;APOA2;APOA1;APOC3;APOA4
6	GO_Biological_Process_2023	Negative Regulation Of Peptidase Activity (GO:0010466)	8/60	1.3755821459937983e-11	1.214442523177382e-09	0	0	55.62237762237762	1391.0911350067977	VTN;ECM1;SERPIND1;FETUB;SERPINA7;SERPINA4;KNG1;SERPINA5
7	GO_Biological_Process_2023	Regulation Of Endopeptidase Activity (GO:0052548)	8/69	4.397406135982848e-11	3.39699624004675e-09	0	0	47.39433681073025	1130.2327110168817	VTN;SERPIND1;AHSG;FETUB;SERPINA7;SERPINA4;KNG1;SERPINA5
8	GO_Biological_Process_2023	Cholesterol Homeostasis (GO:0042632)	8/72	6.248617167379416e-11	4.290717121600533e-09	0	0	45.16590909090909	1061.2216252418802	APOM;APOC2;APOA2;APOA1;LCAT;APOC3;APOA4;APOB
9	GO_Biological_Process_2023	Sterol Homeostasis (GO:0055092)	8/73	7.000518969861249e-11	4.326320723374253e-09	0	0	44.46881118881119	1039.7898314719787	APOM;APOC2;APOA2;APOA1;LCAT;APOC3;APOA4;APOB
10	GO_Biological_Process_2023	Regulation Of Blood Coagulation (GO:0030193)	6/29	3.4341227195894695e-10	1.9293525824602656e-08	0	0	91.1395881006865	1986.122054637783	VTN;PROC;APOH;F12;F2;KNG1
11	GO_Biological_Process_2023	Regulation Of Lipoprotein Lipase Activity (GO:0051004)	5/15	7.7283515536994e-10	3.9801010501551915e-08	0	0	171.7844827586207	3604.202561406767	APOC2;APOH;APOC1;APOC3;APOA4
12	GO_Biological_Process_2023	Regulation Of Fibrinolysis (GO:0051917)	5/16	1.121415502658162e-09	5.3310367741749564e-08	0	0	156.15987460815046	3218.247964538635	VTN;F12;PLG;F2;KLKB1
13	GO_Biological_Process_2023	Negative Regulation Of Endopeptidase Activity (GO:0010951)	7/66	1.469136738486406e-09	6.48518931703285e-08	0	0	42.11440677966102	856.5476888615283	VTN;SERPIND1;FETUB;SERPINA7;SERPINA4;KNG1;SERPINA5
14	GO_Biological_Process_2023	Regulation Of Receptor-Mediated Endocytosis (GO:0048259)	6/39	2.3017809884865303e-09	9.483337672564505e-08	0	0	63.4896331738437	1262.7823077524574	C3;VTN;APOC2;APOC1;APOC3;CLU
15	GO_Biological_Process_2023	Positive Regulation Of Blood Coagulation (GO:0030194)	5/21	5.161618394782963e-09	1.925506663838379e-07	0	0	107.33297413793105	2048.1294937882467	VTN;F12;APOH;PLG;F2
16	GO_Biological_Process_2023	Negative Regulation Of Cellular Component Organization (GO:0051129)	7/79	5.2967011788434365e-09	1.925506663838379e-07	0	0	34.48784722222222	657.2066806687556	APOM;PON1;APOA2;APOA1;APOC3;APOA4;CLU
17	GO_Biological_Process_2023	Regulation Of Cholesterol Transport (GO:0032374)	5/23	8.49410472659142e-09	2.916309289463054e-07	0	0	95.39750957854406	1772.8571558502224	APOC2;APOC1;APOA2;APOA1;APOA4
18	GO_Biological_Process_2023	Acylglycerol Homeostasis (GO:0055090)	5/24	1.0703515320330785e-08	3.481459193665487e-07	0	0	90.37205081669693	1658.5705599821322	APOC2;APOC4;APOA1;APOC3;APOA4
19	GO_Biological_Process_2023	Negative Regulation Of Hemostasis (GO:1900047)	4/10	1.8502049972433976e-08	5.197394037710999e-07	0	0	225.2090395480226	4009.9334973648542	VTN;PROC;APOH;KNG1
20	GO_Biological_Process_2023	Regulation Of Triglyceride Catabolic Process (GO:0010896)	4/10	1.8502049972433976e-08	5.197394037710999e-07	0	0	225.2090395480226	4009.9334973648542	APOC2;APOC3;APOA4;GPLD1
21	GO_Biological_Process_2023	Negative Regulation Of Cholesterol Transport (GO:0032375)	4/10	1.8502049972433976e-08	5.197394037710999e-07	0	0	225.2090395480226	4009.9334973648542	APOC2;APOC1;APOA2;APOC3
22	GO_Biological_Process_2023	Phosphatidylcholine Metabolic Process (GO:0046470)	6/55	1.9668076654372497e-08	5.284726683653132e-07	0	0	42.723952738990334	758.1053097162041	PON1;APOA2;APOA1;LCAT;APOA4;GPLD1
23	GO_Biological_Process_2023	Negative Regulation Of Wound Healing (GO:0061045)	5/28	2.4511274004323433e-08	6.311653056113283e-07	0	0	74.64017991004498	1308.004414644	APCS;VTN;PROC;APOH;KNG1
24	GO_Biological_Process_2023	Phospholipid Transport (GO:0015914)	6/59	3.0271927349403904e-08	7.483220440772645e-07	0	0	39.491559086395235	683.7191413208254	APOC2;APOC1;APOA2;APOA1;APOC3;APOA4
25	GO_Biological_Process_2023	Triglyceride Homeostasis (GO:0070328)	5/31	4.2070227563292363e-08	9.93538314486087e-07	0	0	66.01790450928382	1121.2431738455475	APOC2;APOC4;APOA1;APOC3;APOA4
26	GO_Biological_Process_2023	Negative Regulation Of Coagulation (GO:0050819)	4/12	4.340701373968341e-08	9.93538314486087e-07	0	0	168.88983050847455	2863.1293072787835	VTN;PROC;APOH;KNG1
27	GO_Biological_Process_2023	Proteolysis (GO:0006508)	10/330	7.687869125085303e-08	1.6968225426081131e-06	0	0	11.566627358490566	189.47335183158648	F7;CPB2;ADAMTS13;PROC;F12;PLG;KLKB1;CNDP1;HGFAC;HABP2
28	GO_Biological_Process_2023	Positive Regulation Of Endocytosis (GO:0045807)	6/79	1.7784100497235234e-07	3.789853140445301e-06	0	0	28.64311463590483	445.1820550853312	C3;VTN;AHSG;APOA2;APOA1;CLU
29	GO_Biological_Process_2023	Negative Regulation Of Lipid Catabolic Process (GO:0050995)	4/18	2.645657641564633e-07	5.450054741623144e-06	0	0	96.47941888619854	1461.197777556852	APOC1;APOA2;APOC3;GPLD1
30	GO_Biological_Process_2023	Triglyceride Metabolic Process (GO:0006641)	5/45	2.92448581791282e-07	5.5527508120428415e-06	0	0	42.88146551724138	645.1506613386363	APOH;APOC1;APOA2;APOC3;APOB
31	GO_Biological_Process_2023	Zymogen Activation (GO:0031638)	5/45	2.92448581791282e-07	5.5527508120428415e-06	0	0	42.88146551724138	645.1506613386363	C1R;APOH;F12;KLKB1;HGFAC
32	GO_Biological_Process_2023	Regulation Of Very-Low-Density Lipoprotein Particle Remodeling (GO:0010901)	3/5	2.96506111322676e-07	5.5527508120428415e-06	0	0	498.375	7491.173306827062	APOC2;APOA2;APOC3
